,username,location,text,hashtags,tweet_date
0,vixey PJ🚀🎈✈️🚊🛳, hills of thrills & spills,@TonyHussein4 @MayoIsSpicyy That’s terrible news. I don’t for see any better news in the near future because of climate change because of global warming.,[],2021-11-24 23:59:43
1,Dennis Whitty,"Charlotte, NC","Pumpkin pie prices higher, thanks partly to climate change The global warming scam has nothing to do with it. I’m sick of this constant fear mongering  https://t.co/pTckKV6Fh8",[],2021-11-24 23:47:46
2,tina :P,she her 18,@gnfIoI this is a metaphor for global warming theyre literally blaming him for climate change mj this is a fucking disaster,[],2021-11-24 23:43:55
3,Duke of Mississippi,Mississippi Gulf Coast,"The next time you see a fuzzy, feel-good ""green"" ad from Big Oil, remember their long history of denying global warming.
https://t.co/do3TT1B4ok",[],2021-11-24 23:42:45
4,Craig Bennett,London/Cambridge,"""Failure to act on climate change means an even bigger #refugee crisis""

&gt;I wrote this piece back in 2015. Tragically, it feels relevant to post again tonight...

https://t.co/h5LXEkzN6V","[{'text': 'refugee', 'indices': [55, 63]}]",2021-11-24 23:30:16
5,Mark Nichols,"St. John's, NL Canada","@drlorileeoates All I know is that I was aware that “global warming” / climate change was an issue. I know the media did a shit job reporting on it. But had I wanted to be more aware I could have been. And, by extension, so could everyone else have been.",[],2021-11-24 23:19:09
6,Franky on the GC 🇦🇺,"Gold Coast, Queensland","@pawyai1 Oh wait...but I thought that this was all brought on by humans and the industrial revolution 70 years ago and if we didn't change we'd be under water...or was that an ice age...no, right global warming...oops 'climate change' 🤦‍♂️ #followthemoney","[{'text': 'followthemoney', 'indices': [240, 255]}]",2021-11-24 23:13:14
7,Greg Valentine,Portsmouth UK,Well that's strange 🤔https://t.co/odJFdTFfgp,[],2021-11-24 23:06:16
8,Justiss Goode,"Los Angeles, Ca.","Global Warming is Causing Climate Change and Maybe Even a Rainy Day | by Justiss Goode | Jul, 2021 | Medium - via @pensignal  Read this thought provoking story https://t.co/m2YLZ7xbkT and don't forget to share your thoughts.",[],2021-11-24 22:54:36
9,Flower,,@JFarrous @4_joc1 @Vanessa76_1 @Sarah20hays @BeckLuvsBunnies @chrisg409ubc @ghost321 @ThereseOSulliv2 @tallnblonde1 @poopantsbiden @Klee34036780 @Godslightangel7 @Anti_MagatCult @MTStringer1 @LindaRosenbaum2 @Saorsa1776 @SuspendThis73 @Annie20554592 @DesnoyerRobert @jaginator @lostandlovinit @Montgom53424622 @TJ2020landslide @MissElizabethA @kempmat27 @theProgEqualist @waywardmegan15 @GhoulishMacabre @MattLevine123 @PhunkJunkeyUSA @dogsdontliket @4JOC1 @jyurgealitis @TwatterisPravda @AnglerLouisiana @Gangstakittyboo @1Quetzalcoatl1 @sammk1964 @Nguyen_anime3 @tabbybr63521322 @janos712 @dnwltrs_walters @CAParalegalServ @toooomanytweets @najjar_richard @ScelzoRp @GeorgeF19068934 @dncvoterfraud @luvamerica4 @GetrealTwo Obama and Pelosi are politicians who@built@platforms on the concept of Climate Change which involves losing beaches to rising tides due to global warming.  What a bunch of bull. All of it.,[],2021-11-24 22:50:06
