,username,location,text,hashtags,tweet_date
0,Lawfirm77,,@OffsetYRN Dude. Global warming and fossil fuels are made of bone so they only gonna last so long. Climate change. That’s why they’re canceling all these big ass engine cars. Crack open a book Homie,[],2021-11-25 23:57:06
1,BasicHumanRightsBeingErodedinAustraliaDEB☠,North Sydney.,Climate Change Global Warming PFFFFT is bullcrap https://t.co/eYXVqrQ2E2,[],2021-11-25 23:51:43
2,RSMacKinnon (he/him),A place that's on fire.,"@RupertVonRipp @rightwingnutrs @realRonDeSantis yP EWE:  “We are the first generation that can end poverty. We are also the last generation that can slow global warming before it is too late.” – UN Secretary General Ban Ki-moon, 2015.  https://t.co/7vIIYAhiS0",[],2021-11-25 23:48:19
3,So_Be_It,,"@thenannystate2 Climate change (aka global warming) science deniers, how could you? 😂 https://t.co/LkW67lMCb5",[],2021-11-25 23:46:14
4,Rob Polans,Home,@SaraCarterDC She should NEVER whine about climate change or global warming then.,[],2021-11-25 23:13:36
5,David Wallace-Wells,,"“If we manage to stabilise global temperatures, other aspects of Earth’s climate would continue to change. Studies based on long model experiments suggest ocean and land temperatures continue to evolve for centuries after global warming slows.” https://t.co/nVbmbtsHuf",[],2021-11-25 23:13:13
6,Lamar Wilkkinson Jr,,"@hwinkler4real Um duh
Back when they said pollution was bad everyone agreed. Then they Changed it to global warming and the Repubtards got their heads tied in a knot. So they changed it to climate change and lost some independent because the climate has always changed throughout earths history.",[],2021-11-25 23:10:16
7,weofallhumanity,,"Letter: Don't believe everything you read and hear about climate change https://t.co/N3A8hgOBaA via @Yahoo Scientists agree with a 99.999% accuracy that global warming is caused by man-made pollution, primarily carbon dioxide. The science is settled.",[],2021-11-25 23:09:11
8,Elisabeth S,,💥BQQQQQQQM💥 EXPOSED - THERE IS NO GLOBAL WARMING - Man made climate change is yet another depopulation and control hoax! - THOUGHTS? https://t.co/UKgA9zdFKT,[],2021-11-25 23:02:54
9,Justiss Goode,"Los Angeles, Ca.","Global Warming is Causing Climate Change and Maybe Even a Rainy Day | by Justiss Goode | Jul, 2021 | Medium - via @pensignal  Read this thought provoking story https://t.co/yCASN3Zosl and don't forget to share your thoughts.",[],2021-11-25 23:00:44
10,"Tom Gillispie, LET'S KEEP NATURE LOOKING NATURAL","Rural Hall, North Carolina, USA","#climate #change Links to FIXING CLIMATE CHANGE #climatechange #CO2 #global #warming #preserve_nature #nature
https://t.co/Etll2yhSY7 https://t.co/hbrk6bl20u","[{'text': 'climate', 'indices': [0, 8]}, {'text': 'change', 'indices': [9, 16]}, {'text': 'climatechange', 'indices': [48, 62]}, {'text': 'CO2', 'indices': [63, 67]}, {'text': 'global', 'indices': [68, 75]}, {'text': 'warming', 'indices': [76, 84]}, {'text': 'preserve_nature', 'indices': [85, 101]}, {'text': 'nature', 'indices': [102, 109]}]",2021-11-25 22:57:53
11,Martin Thrice-vax’ed,,"@ValliVws @MsAvaArmstrong The term climate change has been used for decades, and global warming is still an appropriate term. They refer to different, but related, things.",[],2021-11-25 22:57:51
12,g | vote on mama!,,religious people and especially catholics and christians make me so angry bc they'll see the effects of global warming &amp; climate change and they'll start their fcking disgusting religious propaganda reciting the book of revelation like mf ??? how about you DO something USEFUL,[],2021-11-25 22:55:05
13,Thembalethu,"Centurion, South Africa","@ThembaTC1 @JayQuotes_ @MissB_SA_ Climate change is mostly driven by human behavior, for instance the burning of fossil fuels causes global warming and the cutting of trees which also causes global warming, so basically humans play a vital role in climate change thats why there is this..",[],2021-11-25 22:53:39
14,David Veksler ₿🔑👌,"Denver, CO","The decadal average of deaths caused by natural disasters has dropped from over 500,000 in 1920 to 45,000 in 2020.  Increasing global wealth is making humanity is safer from climate disasters than ever before.

https://t.co/SupGpU0XGs

https://t.co/yGrOMnO2iu https://t.co/BX1NsIbcnl",[],2021-11-25 22:51:01
15,not vaxxed not gonna be.,,"@borngeek @GeraldKutney @Elenaforever13 @WaterburyKevin @DawnTJ90 You see that’s exactly the problem, you guys can’t seem to make up YOUR minds. 
Global cooling 
Global warming 
Climate change 🤦🏼‍♂️",[],2021-11-25 22:33:46
16,Global Observatory,New York,"Although progress has been made since the signing of the Paris Agreement, the lion’s share of the key actions needed to tackle climate change and avoid catastrophic global warming have yet to be taken. @jlr502, Julia Nobre &amp; @EimerCurtin for #Climate2021: https://t.co/1OjrXUxACA","[{'text': 'Climate2021', 'indices': [246, 258]}]",2021-11-25 22:29:00
17,Anthony Leiserowitz,"New Haven, CT","Pleased to announce our article is now in print: Global Warming’s Six Americas: a review and recommendations for climate change communication

Open- access!

w/
⁦@MaibachEd⁩ ⁦@JMarlonPhD⁩ https://t.co/AfUHmgLSL3",[],2021-11-25 22:09:07
18,Keith Woolsey,"Gubi Gubi land, Sunshine Coast","Even if we halt global warming, local climates will change – and we need new experiments to understand how https://t.co/OpXRHnumF8 via @ConversationEDU On local #climate changes from #globalwarming #auspol","[{'text': 'climate', 'indices': [161, 169]}, {'text': 'globalwarming', 'indices': [183, 197]}, {'text': 'auspol', 'indices': [198, 205]}]",2021-11-25 22:06:48
19,Brian Gage,"Atlanta, GA","@trixareforlibs @jazzwind @ScottAdamsSays @MisterZip This is what the Left does. When they are embarrassingly disproven, they simply alter the ""science"" to meet their beliefs. It's how Global Warming became Climate Change. Al Gore was wrong so they moved to Charles Mann, who was wrong so they look to Arctic ice, which is now wrong.",[],2021-11-25 22:04:23
20,Victoria,,"“In the more than three decades since… its first major hearing on global warming, the nation has spent nearly $2T sweeping up from disasters, many now believed to have been made worse by climate change…This year alone has seen 18 disasters causing losses of more than $1B each.” https://t.co/kJWxYtuE0B",[],2021-11-25 22:03:30
21,Sask PCAP,Saskatchewan,"The Thick-billed Longspur is considered highly vulnerable to climate change. Just a global warming of 1.5 degrees will mean it will lose 98% of its range. 

Learn more: https://t.co/VDtervsSLd

#SARSweetTweet #species #saskatchewan

Image: Flickr Creative Commons/ K Schneider https://t.co/WhpuJ6xIx7","[{'text': 'SARSweetTweet', 'indices': [194, 208]}, {'text': 'species', 'indices': [209, 217]}, {'text': 'saskatchewan', 'indices': [218, 231]}]",2021-11-25 22:00:50
22,The Quiet & the Storm (Poets and Muses host),,"""All of the world's oceans are warming due to climate change, but the #ArcticOcean, the smallest and shallowest of the world's oceans, is warming fastest of all.
""As the Arctic Ocean gets warmer, it causes the ice in the polar region to melt, which in turn affects global sea","[{'text': 'ArcticOcean', 'indices': [70, 82]}]",2021-11-25 21:50:34
